keywords
lead
arsenic
wildfire
air
smoke
radon
water
haze
pesticide
heavy metal
cadmium 
mercury 
tobacco
"developmental toxicity"
pyrethroid 
"carbon monoxide"
antibiotics
anthropogenic 
"mitochondrial dysfunction"
"altered immune system"
pollution
noise
"oil drilling"
fracking
vaping
chemicals
